Date,open_USDT,high_USDT,low_USDT,close_USDT,volume_USDT,market_cap_USDT,circulating_supply_USDT,total_supply_USDT,max_supply_USDT,open_USDC,high_USDC,low_USDC,close_USDC,volume_USDC,market_cap_USDC,circulating_supply_USDC,total_supply_USDC,max_supply_USDC,open_DAI,high_DAI,low_DAI,close_DAI,volume_DAI,market_cap_DAI,circulating_supply_DAI,total_supply_DAI,max_supply_DAI,open_BTC,high_BTC,low_BTC,close_BTC,volume_BTC,market_cap_BTC,circulating_supply_BTC,total_supply_BTC,max_supply_BTC,open_ETH,high_ETH,low_ETH,close_ETH,volume_ETH,market_cap_ETH,circulating_supply_ETH,total_supply_ETH,max_supply_ETH
2019-11-21,1.0050739146,1.0245594642,0.9988854192,1.0004107003,26004738830.64,4109731631.10837,,,,1.006576287,1.0205978273,1.0025709728,1.0040424189,273585206.16,443598617.033011,,,,,,,,,,,,,8023.64468729,8110.09813105,7597.38160764,7642.74994484,22514243371.47,138031885378.783,,,,175.673600001,176.209206597,159.365129955,161.462725503,8546371324.81,17541867625.6188,,,
2019-11-22,1.0005693504,1.0232170833,0.9916555879,1.0030452513,39068899485.14,4120554483.61499,,,,1.0040424189,1.0157169676,0.9920338725,1.0012472949,360936425.47,441973715.153583,,,,0.9973583008,1.0265481268,0.9721642831,0.9925979113,2104540.84,0.0,,,,7643.56942455,7697.38271398,6936.70659892,7296.57756843,34242315784.81,131791783672.11,,,,161.505887488,163.02809752,142.344094109,150.26817098,12020749863.31,16327536037.9124,,,
2019-11-23,1.0030777825,1.0278410491,0.9988783558,1.0131301904,24605070719.78,4161983861.81594,,,,1.0011012521,1.0155443875,0.9989394967,1.0117439628,278078471.93,448722470.833908,,,,0.9921835652,1.0287471894,0.9883408904,1.0162822351,311283.08,0.0,,,,7296.16442479,7442.25893278,7151.41781411,7397.7968154,21008924417.7,133636205957.351,,,,150.212213393,154.101559706,147.601243609,153.417791778,8289198330.46,16671705910.0525,,,
2019-11-24,1.013503435,1.0286417847,1.0023516906,1.0175186715,25990545760.92,4180011937.39273,,,,1.0119940696,1.0165460694,1.0020898128,1.0088790456,205327942.88,447418651.137833,,,,1.0162882225,1.0351357077,0.9956091626,1.0022701008,255060.08,0.0,,,,7398.63390574,7408.57736944,7029.28912726,7047.91688176,30433517289.47,127327398565.035,,,,153.430526462,153.965918032,142.83470143,142.83470143,7782769097.96,15523459920.4853,,,
2019-11-25,1.0149582823,1.0247473004,0.9939945126,1.0031141184,33648447518.68,4120837392.92876,,,,1.0081329624,1.0191070957,0.9870949672,1.0003926633,292879019.64,457965522.747746,,,,1.0012892841,1.0347078354,0.9848050747,1.0070214472,958777.17,0.0,,,,7039.97703454,7319.85680403,6617.1670508,7146.13390214,42685231261.74,129112952930.262,,,,142.697001106,150.20796929,133.802337987,146.476535696,10962753356.22,15921080564.3907,,,
2019-11-26,1.0036779826,1.0249796144,0.9952669718,1.0097727433,23545460689.15,4148191320.11661,,,,1.0001218558,1.0192330575,0.9967930977,1.0079346237,253662665.05,462535121.469333,,,,1.0072080774,1.0314280582,0.9917667394,1.0060959036,217384.77,0.0,,,,7145.1590862,7320.23035135,7098.57229752,7218.37133433,21129505542.49,130429018719.748,,,,146.404304516,150.004759679,145.216880087,148.96506618,7648516297.03,16193326032.8481,,,
2019-11-27,1.0041435763,1.0306668163,0.9813919232,1.0050266147,27416693309.02,4128694012.79237,,,,1.0024297174,1.0289312644,0.9850440361,1.0074877311,320421509.46,467956601.92397,,,,1.0049641168,1.0289869239,0.9844153214,0.9970338111,478836.24,0.0,,,,7220.88064968,7619.6935852,6974.17436987,7531.6636446,23991412764.14,136102712894.028,,,,148.396817722,154.88720975,143.525608242,153.010552055,8778095307.56,16634910472.4683,,,
2019-11-28,1.0044410063,1.0204399058,1.0006357605,1.0040800041,21502793846.04,4124805294.28279,,,,1.0070010135,1.0315317474,1.0041394224,1.0067545798,297912087.91,458276295.90287,,,,0.9998679643,1.0175693783,0.9923338862,1.004738072,1295173.55,0.0,,,,7536.82010358,7730.07266616,7454.12179377,7463.1061283,19050116751.27,134879411013.193,,,,153.069243365,156.61359186,151.091123923,151.717573997,7346531960.15,16496129469.801,,,
2019-11-29,1.0038920877,1.0113476268,0.9925861193,1.0045208555,22304763156.12,4126616331.55577,,,,1.006490922,1.0164238781,0.9927045086,1.0030499459,243248443.06,454235199.905107,,,,1.0049776009,1.0081542053,0.9934729033,1.0047594318,1517444.25,0.0,,,,7466.72728957,7781.1796785,7460.75621581,7761.24360172,19709695455.78,140280108520.941,,,,151.768599994,156.848408706,151.46043179,155.304145933,7503898278.34,16887922522.3828,,,
2019-11-30,1.0042201371,1.0150507966,0.9983747669,1.0017033446,19145198647.72,4115041871.31762,,,,1.0028709713,1.0131310304,0.9918262988,0.9976578241,225316662.19,454059447.84784,,,,1.0047594318,1.0157644507,1.0002300775,1.0052275661,1099786.58,0.0,,,,7764.05726187,7836.10181158,7515.84946647,7569.63012202,17158194786.41,136829391048.646,,,,155.286408885,156.691292764,151.225342379,152.539691345,6565950867.58,16589132425.8639,,,
2019-12-01,1.0018170883,1.0231983059,0.9950798071,1.0024807923,21027847332.3,4118235661.15475,,,,0.9978691392,1.0111734647,0.981534749,0.996449857,195974260.1,454728031.489011,,,,1.0045597973,1.0223201079,0.9954825534,1.0010404802,1383114.27,0.0,,,,7571.61619421,7571.61619421,7291.34195468,7424.29226516,18720708479.35,134215145409.923,,,,152.491922282,152.491922282,147.067926925,151.18572935,7102780297.54,16443650814.3906,,,
2019-12-02,1.0027465033,1.0188118211,0.9919883752,1.0016813138,19093390526.49,4114951367.77073,,,,0.9966193985,1.0134689412,0.9871131875,0.998793617,236676758.44,456524671.635635,,,,1.0021830291,1.0193778756,0.9933970747,0.9979161422,1652541.81,0.0,,,,7424.03619682,7474.81886382,7233.39953789,7321.98811242,17082040705.78,132378982376.714,,,,151.175477999,152.116960828,147.606802776,149.059152693,6670561362.04,16214125031.9422,,,
2019-12-03,1.0013961239,1.014242274,0.9910713884,1.0031352726,16691088419.7,4120924295.28171,,,,0.998793617,1.0123914791,0.9889561528,1.0021456203,220114424.21,446025601.555193,,,,0.9979161422,1.0115974751,0.9912958197,1.0039190978,1436266.72,0.0,,,,7323.97540332,7418.85890799,7229.35711475,7320.1454684,14797485769.1,132359942301.421,,,,149.058248081,150.310425447,146.001671383,147.956415218,6204379850.29,16095928402.0656,,,
2019-12-04,1.0031656801,1.0161632346,0.9811525371,1.0079385768,24761899935.4,4140656482.4304,,,,1.0024097205,1.013198017,0.9893862971,1.0049551452,266815749.83,465046678.974992,,,,1.0036349642,1.0142566849,0.9847916865,1.0044496266,2308280.28,0.0,,,,7320.12506594,7539.78474641,7170.92266087,7252.03458617,21664240918.45,131143073943.328,,,,147.918388348,150.680817207,145.0008918,146.747737819,7865937093.74,15966157442.3648,,,
2019-12-05,1.007391848,1.0212862062,0.9971926122,1.0100716523,21171449599.48,4149419251.49478,,,,1.0041058976,1.0143419025,0.9956294286,1.0089454686,278757472.19,467344559.413481,,,,1.0049939163,1.0334860053,0.9973675745,1.0082051015,1399150.13,0.0,,,,7253.24189285,7743.43172474,7232.67698855,7448.30752084,18816085231.3,134706455047.842,,,,146.686492302,153.15540271,145.459082589,149.248994591,6745910228.16,16240052430.4363,,,
2019-12-06,1.0096206406,1.015071375,0.9975178391,1.0034275305,19022188750.16,4122124903.6454,,,,1.0091585087,1.0117968151,0.9986413196,1.0032507344,303997787.96,464937221.864104,,,,1.008434794,1.0120198118,0.9999863061,1.0019046287,2479271.62,0.0,,,,7450.56165667,7546.99669772,7392.17506274,7546.99669772,18104466306.77,136504883934.631,,,,149.396488916,149.670523552,147.606520714,149.194447774,6458766440.82,16235876300.527,,,
2019-12-07,1.0035186979,1.0096771943,1.0018164843,1.0074118282,16402700923.99,4138492575.88766,,,,1.0038752777,1.0097012317,1.0020354112,1.0065594854,303307059.4,465947063.807466,,,,1.0015264047,1.0078749008,0.998785186,1.0057849898,1931385.51,0.0,,,,7547.26544276,7589.95176549,7525.71133898,7556.23803387,15453520564.06,136686769529.039,,,,149.197606545,149.799718704,148.37477592,148.768162887,5911233283.71,16191247024.458,,,
2019-12-08,1.0073954719,1.0130355729,1.0021447154,1.0063763961,16556799285.74,4134238974.83066,,,,1.0063633058,1.0138366351,1.0020940708,1.0054697876,343379310.95,464755635.364954,,,,1.0057849898,1.0127453137,1.0000454217,1.0036608659,4015579.08,0.0,,,,7551.33900507,7634.60664192,7476.09125491,7564.3454032,15409908086.2,136847419895.976,,,,148.743677104,152.392923414,148.313344184,151.264725315,6441727251.9,16464729150.1889,,,
