feature,category
m2_supply,macro
high_DAI,price_volatility
vol_7d_DAI,price_volatility
eth_minted_DAI,onchain
market_cap_DAI,price_volatility
vol_30d_DAI,price_volatility
usdt_usdc_mcap_ratio,cross_coin
ma30_DAI,price_volatility
vol_7d_DAI_lag3,price_volatility
credit_spread,macro
close_DAI,price_volatility
ma7_DAI,price_volatility
vol_share_USDT,cross_coin
vol_7d_DAI_lag7,price_volatility
usdt_dai_spread,cross_coin
fed_balance_sheet,macro
open_DAI,price_volatility
lower_shadow_DAI,price_volatility
us_10y_yield_lag1,macro
vol_ma7_DAI,price_volatility
low_DAI,price_volatility
gt_stablecoin,sentiment
vix,macro
vol_share_USDC,cross_coin
return_7d_DAI,price_volatility
ma7_dev_DAI,price_volatility
vol_share_DAI,cross_coin
btc_dominance,crypto_market
lending_tvl_total_lag7,defi
ma30_dev_DAI,price_volatility
return_3d_DAI,price_volatility
return_1d_DAI_lag7,price_volatility
turnover_rate_DAI,price_volatility
yield_spread_2s10s,macro
gt_fear_total_lag3,sentiment
return_1d_DAI,price_volatility
usdt_usdc_spread,cross_coin
dai_eth_return_corr_30d,cross_coin
dxy_change_7d,macro
lending_tvl_change_7d,defi
eth_fees_ratio,onchain
gas_price_gwei_lag3,onchain
tvl_morpho,defi
dxy,macro
eth_vol_7d,crypto_market
tvl_aave_change_1d,defi
gt_fear_ma7,sentiment
supply_change_DAI_lag7,onchain
btc_dom_change,crypto_market
gt_depeg,sentiment
mcap_change_1d_DAI,price_volatility
mcap_change_7d_DAI,price_volatility
tvl_compound_finance,defi
gas_price_gwei,onchain
credit_spread_change_7d,macro
btc_vol_7d,crypto_market
rsi_14_DAI,price_volatility
return_1d_DAI_lag1,price_volatility
gas_price_change_1d,onchain
eth_fees_ma7,onchain
